Date,Open,High,Low,Close,Adj Close,Volume
2019-04-26,32.209999,32.209999,32.209999,32.209999,30.637329,0
2019-04-29,32.209999,32.209999,32.209999,32.209999,30.637329,0
2019-04-30,32.320000,32.320000,32.320000,32.320000,30.741957,0
2019-05-01,32.000000,32.000000,32.000000,32.000000,30.437582,0
2019-05-02,31.990000,31.990000,31.990000,31.990000,30.428070,0
2019-05-03,32.279999,32.279999,32.279999,32.279999,30.703911,0
2019-05-06,32.119999,32.119999,32.119999,32.119999,30.551723,0
2019-05-07,31.610001,31.610001,31.610001,31.610001,30.066626,0
2019-05-08,31.559999,31.559999,31.559999,31.559999,30.019064,0
2019-05-09,31.520000,31.520000,31.520000,31.520000,29.981018,0
2019-05-10,31.650000,31.650000,31.650000,31.650000,30.104670,0
2019-05-13,30.870001,30.870001,30.870001,30.870001,29.362757,0
2019-05-14,31.170000,31.170000,31.170000,31.170000,29.648108,0
2019-05-15,31.260000,31.260000,31.260000,31.260000,29.733713,0
2019-05-16,31.480000,31.480000,31.480000,31.480000,29.942970,0
2019-05-17,31.270000,31.270000,31.270000,31.270000,29.743223,0
2019-05-20,31.080000,31.080000,31.080000,31.080000,29.562500,0
2019-05-21,31.410000,31.410000,31.410000,31.410000,29.876390,0
2019-05-22,31.250000,31.250000,31.250000,31.250000,29.724203,0
2019-05-23,30.860001,30.860001,30.860001,30.860001,29.353243,0
2019-05-24,30.910000,30.910000,30.910000,30.910000,29.400801,0
2019-05-28,30.590000,30.590000,30.590000,30.590000,29.096426,0
2019-05-29,30.370001,30.370001,30.370001,30.370001,28.887169,0
2019-05-30,30.420000,30.420000,30.420000,30.420000,28.934727,0
2019-05-31,30.080000,30.080000,30.080000,30.080000,28.611326,0
2019-06-03,30.250000,30.250000,30.250000,30.250000,28.773026,0
2019-06-04,30.920000,30.920000,30.920000,30.920000,29.410313,0
2019-06-05,31.160000,31.160000,31.160000,31.160000,29.638596,0
2019-06-06,31.299999,31.299999,31.299999,31.299999,29.771759,0
2019-06-07,31.520000,31.520000,31.520000,31.520000,29.981018,0
2019-06-10,31.629999,31.629999,31.629999,31.629999,30.085648,0
2019-06-11,31.590000,31.590000,31.590000,31.590000,30.047600,0
2019-06-12,31.540001,31.540001,31.540001,31.540001,30.000044,0
2019-06-13,31.740000,31.740000,31.740000,31.740000,30.190277,0
2019-06-14,31.650000,31.650000,31.650000,31.650000,30.104670,0
2019-06-17,31.610001,31.610001,31.610001,31.610001,30.066626,0
2019-06-18,31.910000,31.910000,31.910000,31.910000,30.351976,0
2019-06-19,32.029999,32.029999,32.029999,32.029999,30.466116,0
2019-06-20,32.310001,32.310001,32.310001,32.310001,30.732449,0
2019-06-21,32.230000,32.230000,32.230000,32.230000,30.656351,0
2019-06-24,32.090000,32.090000,32.090000,32.090000,30.523188,0
2019-06-25,31.889999,31.889999,31.889999,31.889999,30.332952,0
2019-06-26,31.840000,31.840000,31.840000,31.840000,30.285395,0
2019-06-27,32.049999,32.049999,32.049999,32.049999,30.485140,0
2019-06-28,32.330002,32.330002,32.330002,32.330002,30.751471,0
2019-07-01,32.540001,32.540001,32.540001,32.540001,30.951218,0
2019-07-02,32.529999,32.529999,32.529999,32.529999,30.941704,0
2019-07-03,32.820000,32.820000,32.820000,32.820000,31.217545,0
2019-07-05,32.779999,32.779999,32.779999,32.779999,31.179497,0
2019-07-08,32.590000,32.590000,32.590000,32.590000,30.998775,0
2019-07-09,32.590000,32.590000,32.590000,32.590000,30.998775,0
2019-07-10,32.630001,32.630001,32.630001,32.630001,31.036823,0
2019-07-11,32.689999,32.689999,32.689999,32.689999,31.093891,0
2019-07-12,32.930000,32.930000,32.930000,32.930000,31.322174,0
